sol,month,min_temp,max_temp,pressure,atmo_opacity
1301,Month 5,-78,-20,752,Sunny
1300,Month 5,-79,-16,752,Sunny
1299,Month 5,-80,-19,753,Sunny
1298,Month 5,-79,-17,755,Sunny
1297,Month 5,-80,-24,755,Sunny
1296,Month 5,-79,-25,756,Sunny
1295,Month 5,-79,-20,757,Sunny
1294,Month 5,-79,-16,758,Sunny
1293,Month 5,-81,-21,758,Sunny
1292,Month 5,-81,-22,760,Sunny
1291,Month 5,-80,-21,760,Sunny
1288,Month 5,-80,-16,763,Sunny
1287,Month 5,-80,-18,764,Sunny
1286,Month 5,-80,-19,765,Sunny
1285,Month 5,-80,-13,766,Sunny
1284,Month 5,-80,-21,767,Sunny
1283,Month 5,-82,-20,767,Sunny
1282,Month 5,-81,-16,768,Sunny
1281,Month 5,-83,-22,769,Sunny
1280,Month 5,-84,-23,771,Sunny
1279,Month 5,-83,-29,772,Sunny
1278,Month 5,-83,-29,773,Sunny
1277,Month 5,-84,-28,774,Sunny
1276,Month 4,-83,-20,774,Sunny
1275,Month 4,-82,-17,775,Sunny
1274,Month 4,-82,-17,777,Sunny
1273,Month 4,-79,-19,778,Sunny
1272,Month 4,-81,-23,780,Sunny
1271,Month 4,-84,-22,781,Sunny
1270,Month 4,-82,-18,782,Sunny
1269,Month 4,-83,-17,782,Sunny
1268,Month 4,-83,-24,784,Sunny
1267,Month 4,-83,-24,786,Sunny
1266,Month 4,-82,-27,787,Sunny
1265,Month 4,-81,-28,787,Sunny
1264,Month 4,-84,-27,787,Sunny
1263,Month 4,-84,-29,788,Sunny
1262,Month 4,-81,-29,790,Sunny
1261,Month 4,-81,-25,790,Sunny
1260,Month 4,-83,-23,792,Sunny
1259,Month 4,-84,-25,794,Sunny
1258,Month 4,-83,-23,794,Sunny
1257,Month 4,-84,-21,794,Sunny
1256,Month 4,-84,-27,797,Sunny
1255,Month 4,-84,-25,798,Sunny
1254,Month 4,-84,-29,799,Sunny
1253,Month 4,-85,-26,800,Sunny
1252,Month 4,-85,-31,802,Sunny
1251,Month 4,-85,-27,803,Sunny
1250,Month 4,-85,-28,804,Sunny
1249,Month 4,-85,-32,806,Sunny
1248,Month 4,-86,-23,807,Sunny
1247,Month 4,-85,-25,809,Sunny
1246,Month 4,-85,-25,810,Sunny
1245,Month 4,-86,-26,811,Sunny
1244,Month 4,-85,-26,812,Sunny
1243,Month 4,-86,-26,814,Sunny
1242,Month 4,-87,-26,815,Sunny
1241,Month 4,-87,-28,816,Sunny
1240,Month 4,-87,-24,816,Sunny
1239,Month 4,-89,-26,818,Sunny
1238,Month 4,-87,-26,819,Sunny
1237,Month 4,-88,-29,820,Sunny
1236,Month 4,-87,-26,822,Sunny
1235,Month 4,-88,-28,824,Sunny
1234,Month 4,-88,-26,824,Sunny
1233,Month 4,-88,-27,826,Sunny
1232,Month 4,-88,-28,827,Sunny
1231,Month 4,-88,-26,828,Sunny
1230,Month 4,-88,-26,830,Sunny
1229,Month 4,-88,-26,831,Sunny
1228,Month 4,-88,-28,832,Sunny
1227,Month 4,-88,-26,833,Sunny
1226,Month 4,-87,-24,835,Sunny
1225,Month 4,-87,-28,836,Sunny
1224,Month 4,-88,-29,837,Sunny
1223,Month 4,-88,-26,839,Sunny
1222,Month 4,-87,-28,840,Sunny
1221,Month 4,-87,-28,841,Sunny
1220,Month 4,-87,-28,842,Sunny
1219,Month 4,-87,-27,844,Sunny
1218,Month 4,-86,-32,845,Sunny
1217,Month 4,-88,-27,846,Sunny
1216,Month 4,-86,-28,847,Sunny
1215,Month 4,-85,-27,848,Sunny
1214,Month 4,-85,-24,849,Sunny
1213,Month 4,-84,-27,851,Sunny
1212,Month 3,-86,-28,851,Sunny
1211,Month 3,-83,-22,853,Sunny
1210,Month 3,-85,-23,854,Sunny
1209,Month 3,-85,-24,855,Sunny
1208,Month 3,-85,-24,857,Sunny
1207,Month 3,-85,-25,858,Sunny
1206,Month 3,-85,-24,859,Sunny
1205,Month 3,-86,-26,861,Sunny
1204,Month 3,-84,-25,862,Sunny
1203,Month 3,-85,-23,863,Sunny
1202,Month 3,-85,-22,864,Sunny
1201,Month 3,-85,-29,866,Sunny
1200,Month 3,-84,-27,866,Sunny
1199,Month 3,-86,-29,868,Sunny
1198,Month 3,-86,-23,868,Sunny
1197,Month 3,-85,-26,869,Sunny
1196,Month 3,-86,-27,871,Sunny
1195,Month 3,-86,-32,872,Sunny
1194,Month 3,-84,-29,873,Sunny
1193,Month 3,-84,-28,875,Sunny
1192,Month 3,-86,-24,876,Sunny
1191,Month 3,-87,-28,876,Sunny
1190,Month 3,-87,-29,877,Sunny
1189,Month 3,-87,-24,879,Sunny
1188,Month 3,-90,-31,881,Sunny
1187,Month 3,-84,-29,881,Sunny
1186,Month 3,-86,-28,881,Sunny
1185,Month 3,-84,-24,881,Sunny
1184,Month 3,-85,-28,882,Sunny
1183,Month 3,-86,-26,883,Sunny
1182,Month 3,-85,-29,884,Sunny
1181,Month 3,-86,-24,885,Sunny
1180,Month 3,-86,-27,886,Sunny
1179,Month 3,-85,-25,887,Sunny
1178,Month 3,-86,-26,888,Sunny
1177,Month 3,-84,-27,888,Sunny
1176,Month 3,-84,-31,890,Sunny
1175,Month 3,-85,-23,890,Sunny
1174,Month 3,-85,-25,891,Sunny
1173,Month 3,-87,-31,892,Sunny
1172,Month 3,-87,-26,892,Sunny
1171,Month 3,-87,-29,892,Sunny
1170,Month 3,-85,-31,893,Sunny
1169,Month 3,-89,-32,894,Sunny
1168,Month 3,-84,-29,894,Sunny
1167,Month 3,-84,-25,894,Sunny
1166,Month 3,-84,-31,895,Sunny
1165,Month 3,-84,-35,897,Sunny
1164,Month 3,-86,-35,896,Sunny
1163,Month 3,-86,-29,896,Sunny
1162,Month 3,-84,-27,897,Sunny
1161,Month 3,-83,-26,898,Sunny
1160,Month 3,-80,-28,899,Sunny
1159,Month 3,-82,-28,898,Sunny
1158,Month 3,-82,-28,898,Sunny
1157,Month 3,-82,-32,900,Sunny
1156,Month 3,-84,-30,900,Sunny
1155,Month 3,-84,-26,900,Sunny
1154,Month 3,-84,-29,900,Sunny
1153,Month 3,-82,-31,900,Sunny
1152,Month 3,-80,-30,901,Sunny
1151,Month 3,-82,-31,901,Sunny
1150,Month 3,-82,-29,902,Sunny
1149,Month 3,-81,-23,902,Sunny
1148,Month 3,-80,-28,901,Sunny
1147,Month 3,-80,-29,901,Sunny
1146,Month 3,-82,-28,902,Sunny
1145,Month 2,-82,-29,903,Sunny
1144,Month 2,-82,-28,902,Sunny
1143,Month 2,-82,-29,901,Sunny
1142,Month 2,-82,-23,902,Sunny
1141,Month 2,-82,-28,902,Sunny
1140,Month 2,-81,-26,901,Sunny
1139,Month 2,-80,-25,901,Sunny
1138,Month 2,-82,-29,901,Sunny
1137,Month 2,-81,-26,901,Sunny
1136,Month 2,-82,-23,901,Sunny
1135,Month 2,-81,-27,901,Sunny
1134,Month 2,-80,-27,902,Sunny
1133,Month 2,-82,-26,902,Sunny
1132,Month 2,-82,-27,902,Sunny
1131,Month 2,-81,-28,902,Sunny
1130,Month 2,-81,-25,902,Sunny
1129,Month 2,-80,-23,902,Sunny
1128,Month 2,-79,-27,902,Sunny
1127,Month 2,-80,-27,901,Sunny
1126,Month 2,-79,-21,901,Sunny
1125,Month 2,-79,-22,900,Sunny
1124,Month 2,-80,-26,900,Sunny
1123,Month 2,-79,-27,900,Sunny
1122,Month 2,-79,-26,901,Sunny
1121,Month 2,-81,-25,901,Sunny
1120,Month 2,-80,-24,900,Sunny
1119,Month 2,-81,-22,899,Sunny
1118,Month 2,-80,-25,898,Sunny
1117,Month 2,-79,-25,898,Sunny
1116,Month 2,-79,-26,898,Sunny
1115,Month 2,-80,-21,897,Sunny
1114,Month 2,-79,-25,896,Sunny
1113,Month 2,-79,-24,895,Sunny
1112,Month 2,-80,-24,895,Sunny
1111,Month 2,-79,-26,896,Sunny
1110,Month 2,-81,-25,895,Sunny
1109,Month 2,-82,-26,895,Sunny
1108,Month 2,-78,-25,895,Sunny
1107,Month 2,-79,-24,893,Sunny
1106,Month 2,-82,-22,893,Sunny
1105,Month 2,-78,-25,892,Sunny
1104,Month 2,-79,-25,893,Sunny
1103,Month 2,-81,-26,893,Sunny
1102,Month 2,-84,-25,892,Sunny
1101,Month 2,-80,-23,891,Sunny
1100,Month 2,-79,-22,890,Sunny
1099,Month 2,-78,-24,891,Sunny
1098,Month 2,-77,-26,890,Sunny
1097,Month 2,-78,-27,889,Sunny
1096,Month 2,-79,-24,888,Sunny
1095,Month 2,-79,-24,888,Sunny
1094,Month 2,-80,-20,888,Sunny
1093,Month 2,-77,-21,887,Sunny
1092,Month 2,-79,-23,886,Sunny
1091,Month 2,-77,-21,886,Sunny
1090,Month 2,-78,-20,886,Sunny
1089,Month 2,-76,-19,885,Sunny
1088,Month 2,-77,-19,885,Sunny
1087,Month 2,-78,-19,885,Sunny
1086,Month 2,-77,-25,885,Sunny
1085,Month 2,-79,-23,886,Sunny
1084,Month 2,-78,-22,885,Sunny
1083,Month 2,-80,-20,883,Sunny
1082,Month 2,-79,-17,882,Sunny
1081,Month 2,-77,-18,882,Sunny
1080,Month 1,-77,-17,882,Sunny
1079,Month 1,-80,-21,882,Sunny
1078,Month 1,-80,-18,881,Sunny
1077,Month 1,-79,-16,880,Sunny
1076,Month 1,-81,-14,880,Sunny
1075,Month 1,-77,-13,879,Sunny
1074,Month 1,-77,-14,878,Sunny
1073,Month 1,-82,-15,879,Sunny
1072,Month 1,-78,-15,879,Sunny
1071,Month 1,-78,-16,878,Sunny
1070,Month 1,-80,-14,877,Sunny
1069,Month 1,-77,-22,876,Sunny
1068,Month 1,-76,-23,874,Sunny
1067,Month 1,-79,-24,875,Sunny
1066,Month 1,-78,-14,875,Sunny
1065,Month 1,-78,-19,873,Sunny
1064,Month 1,-77,-22,871,Sunny
1063,Month 1,-79,-19,871,Sunny
1062,Month 1,-77,-24,871,Sunny
1061,Month 1,-77,-23,871,Sunny
1060,Month 1,-78,-16,870,Sunny
1059,Month 1,-78,-20,870,Sunny
1058,Month 1,-78,-22,868,Sunny
1057,Month 1,-78,-22,867,Sunny
1056,Month 1,-76,-21,868,Sunny
1055,Month 1,-77,-20,868,Sunny
1054,Month 1,-77,-11,867,Sunny
1053,Month 1,-79,-11,865,Sunny
1052,Month 1,-78,-12,865,Sunny
1051,Month 1,-76,-20,864,Sunny
1050,Month 1,-76,-22,863,Sunny
1049,Month 1,-75,-21,864,Sunny
1048,Month 1,-78,-15,864,Sunny
1047,Month 1,-77,-14,863,Sunny
1046,Month 1,-77,-12,862,Sunny
1045,Month 1,-80,-13,861,Sunny
1044,Month 1,-79,-20,860,Sunny
1043,Month 1,-77,-20,860,Sunny
1042,Month 1,-76,-20,859,Sunny
1041,Month 1,-77,-22,859,Sunny
1040,Month 1,-77,-21,858,Sunny
1039,Month 1,-77,-21,857,Sunny
1038,Month 1,-76,-21,858,Sunny
1037,Month 1,-80,-21,856,Sunny
1036,Month 1,-76,-17,856,Sunny
1035,Month 1,-77,-12,857,Sunny
1034,Month 1,-76,-14,859,Sunny
1033,Month 1,-77,-14,856,Sunny
1032,Month 1,-74,-16,854,Sunny
1031,Month 1,-76,-15,854,Sunny
1030,Month 1,-77,-15,855,Sunny
1029,Month 1,-75,-14,856,Sunny
1028,Month 1,-75,-15,853,Sunny
1026,Month 1,-78,-16,851,Sunny
1025,Month 1,-74,-14,851,Sunny
1024,Month 1,-76,-15,851,Sunny
1023,Month 1,-76,-15,851,Sunny
1022,Month 1,-75,-12,852,Sunny
1021,Month 1,-76,-14,850,Sunny
1020,Month 1,-63,-12,832,Sunny
1019,Month 1,-81,-14,849,Sunny
1018,Month 12,-79,-15,850,Sunny
1017,Month 12,-78,-12,850,Sunny
1016,Month 12,-76,-11,847,Sunny
1015,Month 12,-75,-13,847,Sunny
1014,Month 12,-77,-14,846,Sunny
1013,Month 12,-80,-12,846,Sunny
1012,Month 12,-81,-16,846,Sunny
1011,Month 12,-78,-12,845,Sunny
1010,Month 12,-74,-11,846,Sunny
1009,Month 12,-75,-12,845,Sunny
1008,Month 12,-79,-12,844,Sunny
1007,Month 12,-79,-12,845,Sunny
1006,Month 12,-78,-13,844,Sunny
1005,Month 12,-75,-12,843,Sunny
1004,Month 12,-74,-9,842,Sunny
1003,Month 12,-74,-10,843,Sunny
1002,Month 12,-77,-12,844,Sunny
1001,Month 12,-79,-12,843,Sunny
1000,Month 12,-74,-12,841,Sunny
998,Month 12,-73,-8,842,Sunny
997,Month 12,-74,-13,843,Sunny
996,Month 12,-72,-4,842,Sunny
995,Month 12,-74,-4,842,Sunny
994,Month 12,-79,-5,842,Sunny
993,Month 12,-73,-8,840,Sunny
992,Month 12,-73,-6,842,Sunny
991,Month 12,-73,-3,840,Sunny
990,Month 12,-76,-1,839,Sunny
989,Month 12,-74,-10,841,Sunny
988,Month 12,-75,-10,840,Sunny
987,Month 12,-74,-7,839,Sunny
986,Month 12,-74,-1,840,Sunny
985,Month 12,-78,-5,840,Sunny
984,Month 12,-74,-6,840,Sunny
983,Month 12,-76,-6,840,Sunny
982,Month 12,-74,-4,840,Sunny
981,Month 12,-73,-3,841,Sunny
980,Month 12,-73,1,840,Sunny
979,Month 12,-79,-4,841,Sunny
978,Month 12,-73,-2,842,Sunny
977,Month 12,-75,-4,841,Sunny
976,Month 12,-75,-6,842,Sunny
975,Month 12,-73,-3,843,Sunny
974,Month 12,-73,-3,842,Sunny
973,Month 12,-72,-4,844,Sunny
972,Month 12,-73,-3,847,Sunny
971,Month 12,-71,-3,848,Sunny
970,Month 12,-71,-4,849,Sunny
969,Month 12,-72,-2,844,Sunny
968,Month 12,-71,-3,848,Sunny
967,Month 12,-74,-2,844,Sunny
966,Month 12,-73,-12,850,Sunny
965,Month 12,-75,-10,847,Sunny
964,Month 12,-72,-13,847,Sunny
963,Month 11,-71,-5,850,Sunny
962,Month 11,-73,-2,845,Sunny
961,Month 11,-71,-3,849,Sunny
960,Month 11,-76,-8,846,Sunny
959,Month 11,-78,-4,846,Sunny
958,Month 11,-74,-9,848,Sunny
957,Month 11,NaN,NaN,NaN,--
954,Month 11,-73,-3,847,Sunny
953,Month 11,-71,-5,847,Sunny
952,Month 11,-69,-6,847,Sunny
951,Month 11,-75,-4,849,Sunny
950,Month 11,-73,0,850,Sunny
949,Month 11,-72,-4,851,Sunny
948,Month 11,-73,-8,854,Sunny
947,Month 11,-70,-3,853,Sunny
946,Month 11,-77,-2,850,Sunny
945,Month 11,-72,-1,851,Sunny
944,Month 11,-70,0,852,Sunny
943,Month 11,-73,-1,854,Sunny
942,Month 11,-74,-1,857,Sunny
941,Month 11,-74,0,857,Sunny
940,Month 11,-73,-2,861,Sunny
939,Month 11,NaN,NaN,NaN,--
937,Month 11,-73,0,863,Sunny
936,Month 11,-72,-3,865,Sunny
935,Month 11,-75,-2,862,Sunny
934,Month 11,-73,1,858,Sunny
933,Month 11,-71,-4,863,Sunny
932,Month 11,-71,1,859,Sunny
931,Month 11,-69,-1,864,Sunny
930,Month 11,-75,-1,865,Sunny
929,Month 11,-75,0,866,Sunny
928,Month 11,-72,0,862,Sunny
927,Month 11,-76,-2,862,Sunny
926,Month 11,-76,1,864,Sunny
925,Month 11,-71,-2,862,Sunny
924,Month 11,-74,-1,867,Sunny
923,Month 11,-72,-5,867,Sunny
922,Month 11,-73,-2,870,Sunny
921,Month 11,-70,2,867,Sunny
920,Month 11,-72,-2,868,Sunny
919,Month 11,-74,-3,870,Sunny
918,Month 11,-71,0,867,Sunny
917,Month 11,-76,-1,871,Sunny
916,Month 11,-71,-5,872,Sunny
915,Month 11,-71,-4,878,Sunny
914,Month 11,-71,0,874,Sunny
913,Month 11,-71,-4,871,Sunny
912,Month 10,-75,-4,875,Sunny
911,Month 10,-70,0,874,Sunny
910,Month 10,-73,0,878,Sunny
909,Month 10,-70,-2,878,Sunny
908,Month 10,-71,-3,883,Sunny
907,Month 10,-75,-1,879,Sunny
906,Month 10,-76,-3,878,Sunny
905,Month 10,-71,-2,880,Sunny
904,Month 10,-71,0,878,Sunny
903,Month 10,-71,-2,882,Sunny
902,Month 10,-68,0,883,Sunny
901,Month 10,-71,-2,885,Sunny
900,Month 10,-70,1,883,Sunny
899,Month 10,-75,-1,881,Sunny
898,Month 10,-72,2,883,Sunny
897,Month 10,-72,5,884,Sunny
896,Month 10,-70,1,888,Sunny
895,Month 10,-72,-4,889,Sunny
894,Month 10,-75,-4,891,Sunny
893,Month 10,-72,2,890,Sunny
892,Month 10,-71,-3,892,Sunny
891,Month 10,-72,-3,892,Sunny
890,Month 10,-72,-4,892,Sunny
889,Month 10,-70,2,895,Sunny
888,Month 10,-70,-5,896,Sunny
887,Month 10,-73,-4,897,Sunny
886,Month 10,-73,-6,894,Sunny
885,Month 10,-71,-4,895,Sunny
884,Month 10,-71,-5,897,Sunny
883,Month 10,-74,-4,897,Sunny
882,Month 10,-76,-6,901,Sunny
881,Month 10,-73,-4,899,Sunny
880,Month 10,NaN,NaN,NaN,--
872,Month 10,-72,1,902,Sunny
871,Month 10,-70,-7,903,Sunny
870,Month 10,-74,-6,909,Sunny
869,Month 10,-72,-4,906,Sunny
868,Month 10,-71,-4,908,Sunny
867,Month 10,-71,-2,910,Sunny
866,Month 10,-71,-4,911,Sunny
865,Month 10,-70,-5,913,Sunny
864,Month 9,-70,-1,914,Sunny
863,Month 9,-72,-13,916,Sunny
862,Month 9,-70,-2,917,Sunny
861,Month 9,-70,-7,917,Sunny
860,Month 9,-69,-8,916,Sunny
859,Month 9,-72,-8,915,Sunny
858,Month 9,-73,-6,913,Sunny
857,Month 9,-76,0,911,Sunny
856,Month 9,-68,-3,912,Sunny
855,Month 9,-69,0,912,Sunny
854,Month 9,-66,3,910,Sunny
853,Month 9,-67,0,913,Sunny
852,Month 9,-73,-3,916,Sunny
851,Month 9,-68,-6,919,Sunny
850,Month 9,-68,-1,918,Sunny
849,Month 9,-69,-1,918,Sunny
848,Month 9,-69,-4,918,Sunny
847,Month 9,-69,-8,918,Sunny
846,Month 9,-74,-7,925,Sunny
845,Month 9,-73,0,920,Sunny
844,Month 9,-68,5,917,Sunny
843,Month 9,-69,1,916,Sunny
842,Month 9,-69,-6,914,Sunny
841,Month 9,-75,-7,914,Sunny
840,Month 9,-74,-4,913,Sunny
839,Month 9,-70,-1,917,Sunny
838,Month 9,-69,-1,917,Sunny
837,Month 9,-69,4,916,Sunny
836,Month 9,-69,-1,916,Sunny
835,Month 9,-69,-1,917,Sunny
834,Month 9,-68,-3,918,Sunny
833,Month 9,-69,-1,923,Sunny
832,Month 9,-68,-2,924,Sunny
831,Month 9,-68,-6,920,Sunny
830,Month 9,-68,-1,918,Sunny
829,Month 9,-71,-2,914,Sunny
828,Month 9,-71,-1,914,Sunny
827,Month 9,-68,0,911,Sunny
826,Month 9,-68,0,914,Sunny
825,Month 9,-67,1,914,Sunny
824,Month 9,-67,2,914,Sunny
823,Month 9,-69,0,912,Sunny
822,Month 9,-71,1,911,Sunny
821,Month 9,-68,2,910,Sunny
820,Month 9,-68,-1,910,Sunny
819,Month 9,-71,0,913,Sunny
818,Month 8,-68,0,914,Sunny
817,Month 8,-69,0,913,Sunny
816,Month 8,-74,-7,909,Sunny
815,Month 8,-69,-8,905,Sunny
814,Month 8,-68,-3,902,Sunny
813,Month 8,-67,2,904,Sunny
812,Month 8,-75,3,902,Sunny
811,Month 8,-71,-6,900,Sunny
810,Month 8,-69,3,897,Sunny
809,Month 8,-70,-2,895,Sunny
808,Month 8,-67,7,893,Sunny
807,Month 8,-71,1,892,Sunny
806,Month 8,-69,2,893,Sunny
805,Month 8,-70,1,893,Sunny
804,Month 8,-73,0,891,Sunny
803,Month 8,-69,0,888,Sunny
802,Month 8,-69,7,887,Sunny
801,Month 8,-70,3,884,Sunny
800,Month 8,-67,-2,884,Sunny
799,Month 8,-70,-4,884,Sunny
798,Month 8,-67,0,883,Sunny
797,Month 8,-65,-1,879,Sunny
796,Month 8,-65,1,877,Sunny
795,Month 8,-68,1,875,Sunny
794,Month 8,-68,-5,874,Sunny
793,Month 8,-71,0,877,Sunny
792,Month 8,-71,0,873,Sunny
791,Month 8,-70,0,867,Sunny
790,Month 8,-68,2,864,Sunny
789,Month 8,-68,-4,862,Sunny
788,Month 8,-68,-5,862,Sunny
787,Month 8,-73,-7,860,Sunny
786,Month 8,-74,-4,861,Sunny
785,Month 8,-74,-1,858,Sunny
784,Month 8,-69,-4,857,Sunny
783,Month 8,-69,6,853,Sunny
782,Month 8,-71,9,854,Sunny
781,Month 8,-74,-5,849,Sunny
780,Month 8,-72,0,852,Sunny
779,Month 8,-71,6,845,Sunny
778,Month 8,-70,6,846,Sunny
777,Month 8,-72,8,841,Sunny
776,Month 8,-72,5,841,Sunny
775,Month 8,-71,3,838,Sunny
774,Month 8,-73,1,838,Sunny
773,Month 8,-70,8,838,Sunny
772,Month 8,-71,8,835,Sunny
771,Month 7,-71,9,836,Sunny
770,Month 7,-70,2,829,Sunny
769,Month 7,-73,4,829,Sunny
768,Month 7,-73,2,826,Sunny
767,Month 7,-71,9,824,Sunny
766,Month 7,-70,8,824,Sunny
765,Month 7,-73,5,820,Sunny
764,Month 7,-73,4,821,Sunny
763,Month 7,-78,6,817,Sunny
762,Month 7,-75,7,814,Sunny
761,Month 7,-72,7,814,Sunny
760,Month 7,-70,11,810,Sunny
759,Month 7,-77,8,809,Sunny
758,Month 7,-71,3,810,Sunny
757,Month 7,-73,5,807,Sunny
756,Month 7,-73,3,806,Sunny
755,Month 7,-74,2,806,Sunny
754,Month 7,-73,6,802,Sunny
753,Month 7,-73,8,800,Sunny
752,Month 7,-71,-3,798,Sunny
751,Month 7,-72,-6,797,Sunny
750,Month 7,-72,4,796,Sunny
749,Month 7,-73,3,794,Sunny
748,Month 7,-71,5,791,Sunny
747,Month 7,-73,6,789,Sunny
746,Month 7,-76,2,788,Sunny
745,Month 7,-74,1,787,Sunny
744,Month 7,-75,-2,786,Sunny
743,Month 7,-72,0,786,Sunny
742,Month 7,-72,0,784,Sunny
741,Month 7,-70,-1,784,Sunny
740,Month 7,-76,-2,782,Sunny
739,Month 7,-77,-1,779,Sunny
738,Month 7,-75,0,778,Sunny
737,Month 7,-74,3,777,Sunny
736,Month 7,-76,0,776,Sunny
735,Month 7,-73,1,776,Sunny
734,Month 7,-73,-3,776,Sunny
733,Month 7,-74,-2,773,Sunny
732,Month 7,-75,-8,773,Sunny
731,Month 7,-75,-4,771,Sunny
730,Month 7,-76,3,770,Sunny
729,Month 7,-75,3,768,Sunny
728,Month 7,-74,1,766,Sunny
727,Month 7,-76,1,766,Sunny
726,Month 7,-75,1,766,Sunny
725,Month 7,-73,-5,764,Sunny
724,Month 7,-74,1,763,Sunny
723,Month 7,-73,2,761,Sunny
722,Month 6,-74,1,760,Sunny
721,Month 6,-73,-5,761,Sunny
720,Month 6,-74,-1,760,Sunny
719,Month 6,-77,-1,758,Sunny
718,Month 6,-77,3,757,Sunny
717,Month 6,-76,5,756,Sunny
716,Month 6,-75,2,755,Sunny
715,Month 6,-73,2,755,Sunny
714,Month 6,-76,2,754,Sunny
713,Month 6,-76,-12,754,Sunny
712,Month 6,-77,-10,752,Sunny
711,Month 6,-75,-11,751,Sunny
710,Month 6,-77,-12,751,Sunny
709,Month 6,-73,-11,750,Sunny
708,Month 6,-76,1,749,Sunny
707,Month 6,-76,1,749,Sunny
706,Month 6,-76,0,748,Sunny
705,Month 6,-76,-9,746,Sunny
704,Month 6,-75,-5,747,Sunny
703,Month 6,-75,-6,747,Sunny
702,Month 6,-76,-2,745,Sunny
701,Month 6,-77,-1,745,Sunny
700,Month 6,-75,-2,745,Sunny
699,Month 6,-76,-2,744,Sunny
698,Month 6,-77,-3,743,Sunny
697,Month 6,-74,-4,743,Sunny
696,Month 6,-75,-2,743,Sunny
695,Month 6,-76,-1,741,Sunny
694,Month 6,-75,-1,740,Sunny
693,Month 6,-76,-2,741,Sunny
692,Month 6,-76,-4,742,Sunny
691,Month 6,-76,-8,741,Sunny
690,Month 6,-77,-7,741,Sunny
689,Month 6,-76,-6,742,Sunny
688,Month 6,-77,-5,741,Sunny
687,Month 6,-77,-2,739,Sunny
686,Month 6,-76,-4,738,Sunny
685,Month 6,-77,-2,740,Sunny
684,Month 6,-75,-9,741,Sunny
683,Month 6,-79,-7,741,Sunny
682,Month 6,-77,-16,739,Sunny
681,Month 6,-79,-17,738,Sunny
680,Month 6,-76,-15,740,Sunny
679,Month 6,-77,-13,738,Sunny
678,Month 6,-77,-17,739,Sunny
677,Month 6,-78,-12,737,Sunny
676,Month 6,-80,-17,738,Sunny
675,Month 6,-80,-12,740,Sunny
674,Month 6,-80,-17,739,Sunny
673,Month 6,-78,-16,738,Sunny
672,Month 6,-78,-16,739,Sunny
671,Month 6,-79,-15,740,Sunny
670,Month 6,-79,-7,737,Sunny
669,Month 6,-84,-4,735,Sunny
668,Month 6,-75,-4,734,Sunny
667,Month 5,-76,-7,736,Sunny
666,Month 5,-77,-7,736,Sunny
665,Month 5,-78,-4,735,Sunny
664,Month 5,-78,-8,732,Sunny
663,Month 5,-77,-10,734,Sunny
662,Month 5,-77,-11,735,Sunny
661,Month 5,-76,-10,735,Sunny
660,Month 5,-78,-12,735,Sunny
659,Month 5,-77,-14,738,Sunny
658,Month 5,-79,-10,739,Sunny
657,Month 5,-79,-6,739,Sunny
656,Month 5,-80,-13,740,Sunny
655,Month 5,-77,-14,741,Sunny
654,Month 5,-79,-8,742,Sunny
653,Month 5,-80,-13,744,Sunny
652,Month 5,-79,-12,745,Sunny
651,Month 5,-80,-8,743,Sunny
650,Month 5,-80,-11,743,Sunny
649,Month 5,-79,-14,745,Sunny
648,Month 5,-80,-20,746,Sunny
647,Month 5,-79,-19,746,Sunny
646,Month 5,-81,-16,746,Sunny
645,Month 5,-81,-8,746,Sunny
644,Month 5,-80,-10,748,Sunny
643,Month 5,-80,-14,748,Sunny
642,Month 5,-80,-19,749,Sunny
641,Month 5,-81,-19,749,Sunny
640,Month 5,-81,-11,750,Sunny
639,Month 5,-80,-16,750,Sunny
638,Month 5,-80,-12,751,Sunny
637,Month 5,-80,-18,752,Sunny
636,Month 5,-81,-19,752,Sunny
635,Month 5,-82,-10,754,Sunny
634,Month 5,-82,-20,753,Sunny
633,Month 5,-81,-15,754,Sunny
632,Month 5,-79,-18,755,Sunny
631,Month 5,-81,-18,756,Sunny
630,Month 5,-82,-20,757,Sunny
629,Month 5,-84,-24,759,Sunny
628,Month 5,-81,-23,759,Sunny
627,Month 5,-82,-19,759,Sunny
626,Month 5,-82,-21,760,Sunny
625,Month 5,-81,-24,761,Sunny
624,Month 5,-82,-19,762,Sunny
623,Month 5,-83,-21,763,Sunny
622,Month 5,-84,-19,763,Sunny
621,Month 5,-82,-21,765,Sunny
620,Month 5,-83,-19,765,Sunny
619,Month 5,-82,-22,766,Sunny
618,Month 5,-83,-23,769,Sunny
617,Month 5,-84,-19,769,Sunny
616,Month 5,-82,-19,769,Sunny
615,Month 5,-83,-23,771,Sunny
614,Month 5,-82,-19,772,Sunny
613,Month 5,-84,-21,773,Sunny
612,Month 5,-85,-27,774,Sunny
611,Month 5,-84,-23,775,Sunny
610,Month 5,-85,-20,776,Sunny
609,Month 5,-84,-20,777,Sunny
608,Month 4,-85,-21,777,Sunny
607,Month 4,-83,-28,779,Sunny
606,Month 4,-84,-27,780,Sunny
605,Month 4,-83,-22,781,Sunny
604,Month 4,-84,-17,782,Sunny
603,Month 4,-83,-15,783,Sunny
602,Month 4,-82,-22,784,Sunny
601,Month 4,-82,-25,785,Sunny
600,Month 4,-81,-25,787,Sunny
599,Month 4,-84,-20,788,Sunny
