sol,month,min_temp,max_temp,pressure,atmo_opacity
1826,Month 3,-80,-26,878,Sunny
1825,Month 3,-80,-27,878,Sunny
1824,Month 3,-80,-28,879,Sunny
1823,Month 3,-80,-28,879,Sunny
1822,Month 3,-78,-27,881,Sunny
1821,Month 3,-81,-29,882,Sunny
1820,Month 3,-79,-29,881,Sunny
1819,Month 3,-82,-28,880,Sunny
1818,Month 3,-81,-25,881,Sunny
1817,Month 3,-80,-29,882,Sunny
1816,Month 3,-82,-30,882,Sunny
1815,Month 3,-81,-29,881,Sunny
1814,Month 2,-80,-26,881,Sunny
1813,Month 2,-80,-27,881,Sunny
1812,Month 2,-79,-23,882,Sunny
1811,Month 2,-79,-25,882,Sunny
1810,Month 2,-78,-25,883,Sunny
1809,Month 2,-80,-25,884,Sunny
1808,Month 2,-79,-26,884,Sunny
1807,Month 2,-78,-23,884,Sunny
1806,Month 2,-80,-25,884,Sunny
1805,Month 2,-78,-27,883,Sunny
1804,Month 2,-78,-29,883,Sunny
1803,Month 2,-78,-25,882,Sunny
1802,Month 2,-79,-26,882,Sunny
1801,Month 2,-80,-21,882,Sunny
1800,Month 2,-80,-24,883,Sunny
1799,Month 2,-78,-24,883,Sunny
1798,Month 2,-79,-25,883,Sunny
1797,Month 2,-79,-27,884,Sunny
1796,Month 2,-80,-23,883,Sunny
1795,Month 2,-81,-19,882,Sunny
1794,Month 2,-80,-25,883,Sunny
1793,Month 2,-80,-22,883,Sunny
1792,Month 2,-80,-27,883,Sunny
1791,Month 2,-79,-23,882,Sunny
1790,Month 2,-81,-22,882,Sunny
1789,Month 2,-79,-19,881,Sunny
1788,Month 2,-79,-21,881,Sunny
1787,Month 2,-79,-26,881,Sunny
1785,Month 2,-77,-20,881,Sunny
1784,Month 2,-80,-22,883,Sunny
1783,Month 2,-79,-23,879,Sunny
1782,Month 2,-78,-22,878,Sunny
1781,Month 2,-78,-22,879,Sunny
1780,Month 2,-77,-20,879,Sunny
1779,Month 2,-78,-23,878,Sunny
1778,Month 2,-81,-23,877,Sunny
1777,Month 2,-79,-22,877,Sunny
1776,Month 2,-79,-24,877,Sunny
1775,Month 2,-80,-22,877,Sunny
1774,Month 2,-79,-18,877,Sunny
1773,Month 2,-78,-22,876,Sunny
1772,Month 2,-78,-20,876,Sunny
1771,Month 2,-79,-22,876,Sunny
1770,Month 2,-79,-19,875,Sunny
1769,Month 2,-76,-23,875,Sunny
1768,Month 2,-78,-22,875,Sunny
1767,Month 2,-77,-22,874,Sunny
1766,Month 2,-79,-17,873,Sunny
1765,Month 2,-77,-20,873,Sunny
1764,Month 2,-79,-18,872,Sunny
1763,Month 2,-78,-20,873,Sunny
1762,Month 2,-77,-20,872,Sunny
1761,Month 2,-77,-20,872,Sunny
1760,Month 2,-78,-18,872,Sunny
1759,Month 2,-77,-20,871,Sunny
1758,Month 2,-78,-20,871,Sunny
1757,Month 2,-78,-21,871,Sunny
1756,Month 2,-78,-23,871,Sunny
1755,Month 2,-77,-22,870,Sunny
1754,Month 2,-78,-20,870,Sunny
1753,Month 2,-76,-16,868,Sunny
1752,Month 2,-80,-16,867,Sunny
1751,Month 2,-78,-23,867,Sunny
1750,Month 2,-77,-17,867,Sunny
1749,Month 2,-76,-21,867,Sunny
1748,Month 1,-79,-19,867,Sunny
1747,Month 1,-79,-16,866,Sunny
1746,Month 1,-76,-16,866,Sunny
1745,Month 1,-78,-19,865,Sunny
1744,Month 1,-78,-22,863,Sunny
1743,Month 1,-78,-21,863,Sunny
1742,Month 1,-77,-12,865,Sunny
1741,Month 1,-78,-18,863,Sunny
1740,Month 1,-78,-21,861,Sunny
1739,Month 1,-77,-22,861,Sunny
1738,Month 1,-78,-22,861,Sunny
1737,Month 1,-78,-19,861,Sunny
1736,Month 1,-77,-16,860,Sunny
1735,Month 1,-78,-13,861,Sunny
1734,Month 1,-78,-22,859,Sunny
1733,Month 1,-77,-21,859,Sunny
1732,Month 1,-78,-24,858,Sunny
1731,Month 1,-78,-24,857,Sunny
1730,Month 1,-77,-20,858,Sunny
1729,Month 1,-76,-19,858,Sunny
1728,Month 1,-76,-16,855,Sunny
1727,Month 1,-75,-13,855,Sunny
1726,Month 1,-76,-17,855,Sunny
1725,Month 1,-79,-18,857,Sunny
1724,Month 1,-77,-21,856,Sunny
1723,Month 1,-76,-16,854,Sunny
1722,Month 1,-77,-13,854,Sunny
1721,Month 1,-76,-16,852,Sunny
1720,Month 1,-76,-17,853,Sunny
1719,Month 1,-77,-19,853,Sunny
1718,Month 1,-77,-16,852,Sunny
1717,Month 1,-76,-12,851,Sunny
1716,Month 1,-76,-10,850,Sunny
1715,Month 1,-77,-10,851,Sunny
1714,Month 1,-77,-13,849,Sunny
1713,Month 1,-75,-10,850,Sunny
1712,Month 1,-77,-11,849,Sunny
1711,Month 1,-75,-13,848,Sunny
1710,Month 1,-76,-12,848,Sunny
1709,Month 1,-76,-14,847,Sunny
1708,Month 1,-76,-13,846,Sunny
1707,Month 1,-77,-12,846,Sunny
1706,Month 1,-77,-17,845,Sunny
1705,Month 1,-76,-11,845,Sunny
1704,Month 1,-77,-14,844,Sunny
1703,Month 1,-76,-12,843,Sunny
1702,Month 1,-75,-12,842,Sunny
1701,Month 1,-76,-12,841,Sunny
1700,Month 1,-76,-14,842,Sunny
1699,Month 1,-76,-12,843,Sunny
1698,Month 1,-77,-12,842,Sunny
1697,Month 1,-77,-15,841,Sunny
1696,Month 1,-75,-17,841,Sunny
1695,Month 1,-77,-13,840,Sunny
1694,Month 1,-76,-12,840,Sunny
1693,Month 1,-76,-12,840,Sunny
